axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000010185,SandP HEALTHCARE INDEX,sp_healthcare,0,0,1,macroidx,geom,D,0,0,,,9/11/1989,0,0,0,0,0
M000100208,SandP GSCI Aluminum Excess Return,SandP GSCI Aluminum Excess Return,0,0,1,macrods,geom,D,0,0,,,1/7/1991,0,0,0,0,1
M000100209,SandP GSCI Aluminum Spot,SandP GSCI Aluminum Spot,0,0,1,macrods,geom,D,0,0,,,1/7/1991,0,0,0,1,0
M000100210,SandP GSCI Aluminum Total Return,SandP GSCI Aluminum Total Return,0,0,1,macrods,geom,D,0,0,,,1/7/1991,1,0,0,0,0
M000100218,SandP GSCI Zinc Spot,SandP GSCI Zinc Spot,0,0,1,macrods,geom,D,0,0,,,1/7/1991,0,0,0,1,0
M000100219,SandP GSCI Zinc Total Return,SandP GSCI Zinc Total Return,0,0,1,macrods,geom,D,0,0,,,1/7/1991,1,0,0,0,0
M000100217,SandP GSCI Zinc Excess Return,SandP GSCI Zinc Excess Return,0,0,1,macrods,geom,D,0,0,,,1/8/1991,0,0,0,0,1
M000010165,SandP 400 INDEX - MIDCAP,sp_400_mc_tr,0,0,1,macroidx,geom,D,0,0,,,6/19/1991,0,0,0,0,0
M000010166,SandP 400 MIDCAP TOTAL RETURN,sp_400_mc_tr,0,0,1,macroidx,geom,D,0,0,,,7/1/1991,1,0,0,0,0
M000010088,PHLX BANK INDEX,PHLX BANK INDEX,0,0,1,macroidx,geom,D,0,0,,,9/23/1992,0,0,0,0,0
M000100211,SandP GSCI Nickel Excess Return,SandP GSCI Nickel Excess Return,0,0,1,macrods,geom,D,0,0,,,12/31/1992,0,0,0,0,1
M000100212,SandP GSCI Nickel Spot,SandP GSCI Nickel Spot,0,0,1,macrods,geom,D,0,0,,,12/31/1992,0,0,0,1,0
M000100213,SandP GSCI Nickel Total Return,SandP GSCI Nickel Total Return,0,0,1,macrods,geom,D,0,0,,,1/8/1993,1,0,0,0,0
M000100223,SandP GSCI Natural Gas Excess Return,SandP GSCI Natural Gas Excess Return,0,0,1,macrods,geom,D,0,0,,,12/31/1993,0,0,0,0,1
M000100224,SandP GSCI Natural Gas Spot,SandP GSCI Natural Gas Spot,0,0,1,macrods,geom,D,0,0,,,12/31/1993,0,0,0,1,0
M000100225,SandP GSCI Natural Gas Total Return,SandP GSCI Natural Gas Total Return,0,0,1,macrods,geom,D,0,0,,,1/7/1994,1,0,0,0,0
